Location,Cases,Recovered,Deaths
Andaman and Nicobar,10035,9905,129
Andhra Pradesh,2319662,2304910,14730
Arunachal Pradesh,64495,64199,296
Assam,724207,716212,7986
Bihar,830526,818252,12256
Chandigarh,92007,90801,1165
Chhattisgarh,1152241,1138184,14034
Dadra and Nagar Haveli and Daman and Diu,11441,11437,4
Delhi,1875887,1845551,26168
Goa,245388,241530,3832
Gujarat,1224257,1213221,10943
Haryana,989762,977293,10618
Himachal Pradesh,284769,280558,4134
Jammu and Kashmir,454004,449203,4751
Jharkhand,435210,429870,5317
Karnataka,3946998,3905228,40057
Kerala,6539722,6468076,68890
Ladakh,28245,28011,228
Lakshadweep,11402,11350,52
Maharashtra,7876925,7728162,147834
Manipur,137215,135078,2120
Meghalaya,93795,92196,1593
Mizoram,226988,225596,695
Madhya Pradesh,1041323,1030518,10735
Nagaland,35488,34728,760
Odisha,1287998,1278737,9124
Puducherry,165781,163815,1962
Punjab,759442,741527,17748
Rajasthan,1283362,1273639,9552
Sikkim,39149,38695,452
Tamil Nadu,3453607,3415220,38025
Telengana,791827,787484,4111
Tripura,100879,99957,922
Uttar Pradesh,2073102,2048320,23505
Uttarakhand,437399,429267,7693
West Bengal,2018031,1996581,21201
